App_#,Session_#,Activity_Title,title,
85515,1141,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Cardiac Axis Determination and its Clinical Significance,
85515,2071,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Dyslipidemia  (Part 2),
85515,1192,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Dyslipidemia Management-ACC/AHA guideline Overview,
85515,1409,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Dyslipidemias (Part 1),
85515,670,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Dyslipidemias (Part 3),
85515,1191,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Dyslipidemias (Part 4),
85515,2072,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Dyslipidemias (Part 4),
85515,1494,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) EKG Fundamentals,
85515,1362,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) EKG Leads and Normal Waveform,
85515,1239,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Hypertension Management (Part 1),
85515,562,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Hypertension Management (Part 2),
85515,966,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Hypertension Management (Part 3),
85515,564,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Hypertension Management (part 4),
85515,1605,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 1),
85515,1810,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 10),
85515,1606,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 2),
85515,2070,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 3),
85515,172,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 4),
85515,1108,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 5),
85515,174,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 6),
85515,1183,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 7),
85515,2069,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 8),
85515,1406,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 9),
85515,1427,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Peptic Ulcer Disease and the Role of PPIs,
85515,831,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Wound Care and Management,
85515,1587,DrBeen's Clinical Practice Readiness Program (2019/2020),:Asthma,
85515,76,DrBeen's Clinical Practice Readiness Program (2019/2020),10 most important disorders of the Small Intestine: An Overview,
85515,1687,DrBeen's Clinical Practice Readiness Program (2019/2020),A Clinical Approach to Asthma,
85515,302,DrBeen's Clinical Practice Readiness Program (2019/2020),A Clinical Approach to Hypoxemia,
85515,675,DrBeen's Clinical Practice Readiness Program (2019/2020),A clinical overview of Clinical Hepatic Diseases: Utilization of Liver Function Tests (LFT),
85515,945,DrBeen's Clinical Practice Readiness Program (2019/2020),A Differential Diagnosis of Acute Chest Pain,
85515,471,DrBeen's Clinical Practice Readiness Program (2019/2020),A Preview of Sepsis and Septic Shock: Diagnosis and Management,
85515,1868,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S ( Epinephrine and Norepinephrine) Part-1,
85515,1869,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S (Epinephrine and Norepinephrine) Part 2,
85515,1872,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S (Epinephrine and Norepinephrine) Part 5,
85515,1870,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S (Epinephrine and Norepinephrine) Part-3,
85515,1871,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S (Epinephrine and Norepinephrine) Part-4,
85515,1873,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S (Epinephrine and Norepinephrine) Part-6,
85515,1874,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S (Epinephrine and Norepinephrine) Part-7,
85515,297,DrBeen's Clinical Practice Readiness Program (2019/2020),Abdominal Compartment Syndrome,
85515,257,DrBeen's Clinical Practice Readiness Program (2019/2020),Abnormal Breathing Patterns,
85515,47,DrBeen's Clinical Practice Readiness Program (2019/2020),Abnormal Uterine Bleeding,
85515,1992,DrBeen's Clinical Practice Readiness Program (2019/2020),Acid Base Disorders,
85515,2074,DrBeen's Clinical Practice Readiness Program (2019/2020),Acne,
85515,1901,DrBeen's Clinical Practice Readiness Program (2019/2020),Action Potential (Part-1),
85515,1902,DrBeen's Clinical Practice Readiness Program (2019/2020),Action potential (Part-2),
85515,1903,DrBeen's Clinical Practice Readiness Program (2019/2020),Action potential (Part-3),
85515,207,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute Abdomen Series: Acute Diverticulitis,
85515,1197,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute Abdomen Series: Acute Pancreatitis,
85515,1201,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute Abdomen Series: Appendicitis,
85515,844,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute Abdomen Series: Cholecystitis,
85515,853,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute Abdomen Series: Ectopic Pregnancy,
85515,1416,DrBeen's Clinical Practice Readiness Program (2019/2020),"Acute Abdomen Series: History, Physical Exam, and Anatomical Overview",
85515,507,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute Abdomen Series: Perforated Ulcer,
85515,1441,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute Abdomen Series: Ruptured Ovarian Cyst,
85515,204,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute Abdomen Series: Sigmoid Volvulus,
85515,71,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute Diverticulitis,
85515,686,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute ST Elevation MI during Non-Cardiac Surgery,
85515,2036,DrBeen's Clinical Practice Readiness Program (2019/2020),Addiction,
85515,1448,DrBeen's Clinical Practice Readiness Program (2019/2020),Alpha hemolytic streptococci,
85515,1306,DrBeen's Clinical Practice Readiness Program (2019/2020),Alzheimer's Disease,
85515,1463,DrBeen's Clinical Practice Readiness Program (2019/2020),Amyotrophic Lateral Sclerosis,
85515,1737,DrBeen's Clinical Practice Readiness Program (2019/2020),An Overview of Common Cardiac Murmurs,
85515,49,DrBeen's Clinical Practice Readiness Program (2019/2020),"An Overview of Common Ear, Nose, and Throat Conditions (Part 1)",
85515,51,DrBeen's Clinical Practice Readiness Program (2019/2020),"An Overview of Common Ear, Nose, and Throat Conditions (Part 3)",
85515,1391,DrBeen's Clinical Practice Readiness Program (2019/2020),Anatomical Positions (part 1),
85515,652,DrBeen's Clinical Practice Readiness Program (2019/2020),Anatomical Positions (part 2),
85515,1625,DrBeen's Clinical Practice Readiness Program (2019/2020),Anatomical Positions (part 3),
85515,648,DrBeen's Clinical Practice Readiness Program (2019/2020),Angina Pectoris (Chest Pain),
85515,1799,DrBeen's Clinical Practice Readiness Program (2019/2020),Anterior and lateral spinothalamic tracts.,
85515,1880,DrBeen's Clinical Practice Readiness Program (2019/2020),Anterior Pituitary and Growth Hormone (Part-1),
85515,1881,DrBeen's Clinical Practice Readiness Program (2019/2020),Anterior pituitary and growth hormone (Part-2),
85515,1882,DrBeen's Clinical Practice Readiness Program (2019/2020),Anterior pituitary and growth hormone (Part-3),
85515,3,DrBeen's Clinical Practice Readiness Program (2019/2020),Antibiotics Overview,
85515,2031,DrBeen's Clinical Practice Readiness Program (2019/2020),Anxiety disorders,
85515,423,DrBeen's Clinical Practice Readiness Program (2019/2020),Aortic Stenosis & Aortic Regurgitation Part 1,
85515,424,DrBeen's Clinical Practice Readiness Program (2019/2020),Aortic Stenosis & Aortic Regurgitation Part 2,
85515,425,DrBeen's Clinical Practice Readiness Program (2019/2020),Aortic Stenosis & Aortic Regurgitation Part 3,
85515,1957,DrBeen's Clinical Practice Readiness Program (2019/2020),Apoptosis (Basic concepts) Part-1,
85515,1958,DrBeen's Clinical Practice Readiness Program (2019/2020),Apoptosis (Basic concepts) Part-2,
85515,1959,DrBeen's Clinical Practice Readiness Program (2019/2020),Apoptosis (Basic concepts) Part-3,
85515,74,DrBeen's Clinical Practice Readiness Program (2019/2020),Appendicitis,
85515,1994,DrBeen's Clinical Practice Readiness Program (2019/2020),ARDS - Management of Patients,
85515,1995,DrBeen's Clinical Practice Readiness Program (2019/2020),ARDS - Pathophysiology and Clinical Presentation,
85515,634,DrBeen's Clinical Practice Readiness Program (2019/2020),Arrhythmia Series: Abnormal Sinus Rhythm,
85515,221,DrBeen's Clinical Practice Readiness Program (2019/2020),Arrhythmia Series: Electrical Alternans Purkinje Blocks,
85515,892,DrBeen's Clinical Practice Readiness Program (2019/2020),Arrhythmia Series: Fibrillation and Flutter,
85515,1376,DrBeen's Clinical Practice Readiness Program (2019/2020),Arrhythmia Series: First and Second Degree Heart Blocks,
85515,223,DrBeen's Clinical Practice Readiness Program (2019/2020),Arrhythmia Series: Paroxysmal Tachycardia,
85515,1760,DrBeen's Clinical Practice Readiness Program (2019/2020),Arrhythmia Series: Premature Atrial Beats,
85515,225,DrBeen's Clinical Practice Readiness Program (2019/2020),Arrhythmia Series: Premature AV Nodal Junction Beats,
85515,226,DrBeen's Clinical Practice Readiness Program (2019/2020),Arrhythmia Series: Premature Ventricular Beats Torsades De Pointes,
85515,1375,DrBeen's Clinical Practice Readiness Program (2019/2020),Arrhythmia Series: Sinoatrial Nodal Block (SA Nodal Block),
85515,886,DrBeen's Clinical Practice Readiness Program (2019/2020),Arrhythmia Series: Third Degree Heart Blocks,
85515,2077,DrBeen's Clinical Practice Readiness Program (2019/2020),Arthropods bites,
85515,1937,DrBeen's Clinical Practice Readiness Program (2019/2020),Assessing pulmonary function - Obstructive versus Restrictive,
85515,2062,DrBeen's Clinical Practice Readiness Program (2019/2020),Assessment and management of the facial lacerations part 1,
85515,2063,DrBeen's Clinical Practice Readiness Program (2019/2020),Assessment and management of the facial lacerations part 2,
85515,2019,DrBeen's Clinical Practice Readiness Program (2019/2020),Asthma Classification,
85515,2017,DrBeen's Clinical Practice Readiness Program (2019/2020),Asthma Management,
85515,1970,DrBeen's Clinical Practice Readiness Program (2019/2020),Asthma Types and Clinical Pathophysiology,
85515,1941,DrBeen's Clinical Practice Readiness Program (2019/2020),Atelectasis (Basic Pathology),
85515,509,DrBeen's Clinical Practice Readiness Program (2019/2020),Atherosclerosis Progression - Clinical Horizon,
85515,9,DrBeen's Clinical Practice Readiness Program (2019/2020),Atrial and Junctional Premature Beats,
85515,568,DrBeen's Clinical Practice Readiness Program (2019/2020),Atrial Development,
85515,982,DrBeen's Clinical Practice Readiness Program (2019/2020),Atrial Development and Defects,
85515,54,DrBeen's Clinical Practice Readiness Program (2019/2020),Atrial Fibrillation,
85515,2020,DrBeen's Clinical Practice Readiness Program (2019/2020),Atrial Flutter,
85515,1218,DrBeen's Clinical Practice Readiness Program (2019/2020),Atypical Urinary Tract Infections: Common Challenges and Solutions,
85515,1328,DrBeen's Clinical Practice Readiness Program (2019/2020),Autonomic Control of the Nodal Action Potentials,
85515,84,DrBeen's Clinical Practice Readiness Program (2019/2020),B Cell Functions (part 2),
85515,364,DrBeen's Clinical Practice Readiness Program (2019/2020),Bacteria Cell Wall Part 1,
85515,365,DrBeen's Clinical Practice Readiness Program (2019/2020),Bacteria Cell Wall Part 2,
85515,366,DrBeen's Clinical Practice Readiness Program (2019/2020),Bacteria Cell Wall Part 3,
85515,1446,DrBeen's Clinical Practice Readiness Program (2019/2020),Bacterial Structure,
85515,596,DrBeen's Clinical Practice Readiness Program (2019/2020),Baroreceptors: A Primer on Blood Pressure Regulation,
85515,1809,DrBeen's Clinical Practice Readiness Program (2019/2020),Basal Ganglia,
85515,809,DrBeen's Clinical Practice Readiness Program (2019/2020),Basic Eye Examination,
85515,2067,DrBeen's Clinical Practice Readiness Program (2019/2020),Basic structure of the Skull,
85515,479,DrBeen's Clinical Practice Readiness Program (2019/2020),Bell's Palsy,
85515,878,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Flow Autoregulation,
85515,1824,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Flow Hemodynamics,
85515,1011,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Flow Velocity,
85515,1013,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Flow Velocity - Review,
85515,379,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Pressure Regulation Part 1,
85515,380,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Pressure Regulation Part 2,
85515,381,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Pressure Regulation Part 3,
85515,382,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Pressure Regulation Part 4,
85515,1784,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Supply of the Brain,
85515,280,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Transfusion Reactions: (Part 1),
85515,1523,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Transfusion Reactions: (Part 2),
85515,1524,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Transfusion Reactions: (Part 3),
85515,1841,DrBeen's Clinical Practice Readiness Program (2019/2020),Blood Vessel Histology,
85515,1911,DrBeen's Clinical Practice Readiness Program (2019/2020),Body Fluid Compartments (Part-1),
85515,1912,DrBeen's Clinical Practice Readiness Program (2019/2020),Body Fluid Compartments (Part-2),
85515,1913,DrBeen's Clinical Practice Readiness Program (2019/2020),Body Fluid Compartments (Part-3),
85515,1914,DrBeen's Clinical Practice Readiness Program (2019/2020),Body Fluid Compartments (Part-4),
85515,129,DrBeen's Clinical Practice Readiness Program (2019/2020),Bohr Effect,
85515,1093,DrBeen's Clinical Practice Readiness Program (2019/2020),Brain Developmental Abnormalities,
85515,135,DrBeen's Clinical Practice Readiness Program (2019/2020),Bronchiectasis,
85515,14,DrBeen's Clinical Practice Readiness Program (2019/2020),Burns: A comprehensive look at burn pathophysiology and clinical management,
85515,338,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Arrhythmias (Basic Concepts) Part 1,
85515,339,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Arrhythmias (Basic Concepts) Part 2,
85515,340,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Arrhythmias (Basic Concepts) Part 3,
85515,1712,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Axis Using Isoelectric Lead Method,
85515,620,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Axis Using Quadrant Method,
85515,1044,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Contractility,
85515,315,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Cycle Part 1,
85515,316,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Cycle Part 2,
85515,1046,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Cycles,
85515,291,DrBeen's Clinical Practice Readiness Program (2019/2020),"Cardiac Drugs: Inotropes, Vasopressors, and Vasodilators Part 1",
85515,101,DrBeen's Clinical Practice Readiness Program (2019/2020),"Cardiac Drugs: Inotropes, Vasopressors, and Vasodilators Part a2",
85515,409,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Failure Part 1,
85515,410,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Failure Part 2,
85515,411,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Failure Part 3,
85515,412,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Failure Part 4,
85515,413,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Failure Part 5,
85515,345,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Output Part 1,
85515,346,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Output Part 2,
85515,347,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Output Part 3,
85515,348,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Output Part 4,
85515,1056,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Principles: Cardiac and Venous Curves - Review,
85515,1051,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Principles: Clinical Application of Pressure-Volume Loops,
85515,1048,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Principles: Ejection Fraction and Cardiac Output,
85515,1052,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Principles: Measuring Cardiac Output,
85515,1489,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Principles: Preload and Afterload,
85515,1050,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Principles: Pressure-Volume Loops,
85515,407,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiac Tumors,
85515,1385,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiomyopathies,
85515,394,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiomyopathies Part 1,
85515,395,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiomyopathies Part 2,
85515,396,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiomyopathies Part 3,
85515,2055,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiovascular anatomy part 1,
85515,2056,DrBeen's Clinical Practice Readiness Program (2019/2020),Cardiovascular anatomy part 2,
85515,2049,DrBeen's Clinical Practice Readiness Program (2019/2020),Catatonia,
85515,1904,DrBeen's Clinical Practice Readiness Program (2019/2020),Cell Membrane (Part-1),
85515,1905,DrBeen's Clinical Practice Readiness Program (2019/2020),Cell Membrane (Part-2),
85515,1644,DrBeen's Clinical Practice Readiness Program (2019/2020),Cerebellum,
85515,1807,DrBeen's Clinical Practice Readiness Program (2019/2020),Cerebellum Review,
85515,594,DrBeen's Clinical Practice Readiness Program (2019/2020),Cerebral Blood Flow Regulation,
85515,2047,DrBeen's Clinical Practice Readiness Program (2019/2020),Cerebrospinal fluid,
85515,2048,DrBeen's Clinical Practice Readiness Program (2019/2020),Cerebrospinal fluid review,
85515,22,DrBeen's Clinical Practice Readiness Program (2019/2020),Cholecystitis,
85515,547,DrBeen's Clinical Practice Readiness Program (2019/2020),Chronic Bronchitis and Bronciolitis,
85515,1964,DrBeen's Clinical Practice Readiness Program (2019/2020),Circulatory shock (Part-1),
85515,1965,DrBeen's Clinical Practice Readiness Program (2019/2020),Circulatory shock (Part-2),
85515,1966,DrBeen's Clinical Practice Readiness Program (2019/2020),Circulatory shock (Part-3),
85515,1967,DrBeen's Clinical Practice Readiness Program (2019/2020),Circulatory shock (Part-4),
85515,1850,DrBeen's Clinical Practice Readiness Program (2019/2020),Clinical Application of Cardiac Drugs,
85515,1969,DrBeen's Clinical Practice Readiness Program (2019/2020),Clinical Application of Cholinergic Drugs/Cholinergic System,
85515,1988,DrBeen's Clinical Practice Readiness Program (2019/2020),Clinical Application of Respiratory Drugs (Part2)/Asthma,
85515,698,DrBeen's Clinical Practice Readiness Program (2019/2020),Clinical Applications of Anti-Dysryhtmia Drugs,
85515,1976,DrBeen's Clinical Practice Readiness Program (2019/2020),Clinical Applications of Anti-Histamine Medications (Part 1)/Common Cold,
85515,1990,DrBeen's Clinical Practice Readiness Program (2019/2020),Clinical Applications of Antihypertensive Drugs (Part 1),
85515,1974,DrBeen's Clinical Practice Readiness Program (2019/2020),Clinical Applications of Anti-Inflammatory/Anti-Histamine Drugs,
85515,2002,DrBeen's Clinical Practice Readiness Program (2019/2020),Clinical Applications of Respiratory Drugs (Part 1)/Asthma,
85515,1245,DrBeen's Clinical Practice Readiness Program (2019/2020),Clinical Approach to the Diseases of the Spinal Column (Lecture 3),
85515,967,DrBeen's Clinical Practice Readiness Program (2019/2020),Clinical Aspects of Hemolytic Anemia,
85515,1679,DrBeen's Clinical Practice Readiness Program (2019/2020),Clinical Diagnosis and Treatment of Hiatal Hernia,
